title	fact
Does a Vintage Advertisement Show Boy Eating a Stick of Butter?	A vintage advertisement features a young boy eating a stick of butter.
Does a Viral Image Show People Lining Up to Surrender Their Pets for Euthanasia?	A photograph shows people lining up outside a Houston, Texas shelter to turn in unwanted animals to be euthanized.
Does a Viral Video Really Show ‘Game of Thrones’ Actress Bella Ramsey Break-Dancing?	A video shows television actress Bella Ramsey break-dancing.
Does a Viral Video Show Prince George Reciting the Alphabet in Bible Verses?	A viral Facebook video shows Prince George of Cambridge reciting the alphabet through Biblical verses.
Does a Viral Video Show a Polar Bear Starving to Death?	A video shows a sick, possibly starving polar bear on Baffin Island in the Canadian Arctic.
Does a Vox Infographic Claim Killing GOP Members Could Prevent ‘Ten 9/11s’?	A Vox infographic calculated Republican lawmaker deaths against lives potentially saved by their effects on healthcare policy.
Does a Walt Disney World Attraction Help People Pass Kidney Stones?	Taking one or more rides on the Big Thunder Mountain roller coaster at Walt Disney World can help dislodge kidney stones.
Does a Wrecking Ball Smash a Van in This Video?	Video clip shows a wrecking ball smashing into a passing van.
Does a ‘Call of Duty: WWII’ Still Show Two Men Hanging From a Tree?	An image showing two lynched men originated with the game 'Call of Duty: WWII.'
Does a ‘Multicultural Beach’ Sign in Melbourne Prohibit Pork and Alcohol?	A sign posted on a public beach by the city of Melbourne, Australia tells visitors to refrain from consuming of pork and alcohol and to be respectful during Islamic prayer times.
Does a ‘Muslim Migrant’ from Syria with Four Wives, 23 Children Receive $390,000 a Year in Benefits?	A Syrian refugee receives close to $400,000 in benefits a year from the German government in order to take care of his wives and children.
Does a ‘Plastic’ Layer Cover Romaine Lettuce?	A viral video shows a woman peeling a layer of plastic off romaine lettuce leaves.
Does a ‘Welcome to Kansas City’ Sign Contain an Unfortunate Typo?	A 'Welcome to Kansas City' sign features an amusing, but unfortunate typo welcoming 25 million visitors 'anally,' not 'annually.'
Does an Image Depict the Texas Church Shooter at a Bernie Sanders Rally?	Image depicts Texas church shooting suspect Devin Patrick Kelley at a Bernie Sanders rally.
Does an Image Show Ocasio-Cortez Fake-Crying at a Migrant Camp?	"A ""newly uncovered"" photograph reveals Alexandria Ocasio-Cortez was crying over an empty parking lot, not detained migrant children, at a protest in Texas."
Does an Image Show Ocasio-Cortez Fake-Crying at a Migrant Camp?	A 'newly uncovered' photograph reveals Alexandria Ocasio-Cortez was crying over an empty parking lot, not detained migrant children, at a protest in Texas.
Does an Upcoming Movie Depict ‘Liberals’ Hunting Trump Supporters?	'The Hunt,' set for release in September 2019, will feature liberal or left-wing characters hunting supporters of U.S. President Donald Trump for sport.
Does an X-Ray Show Hundreds of Bubble Tea Pearls in a Teen’s Stomach?	An X-ray shows hundreds of bubble tea pearls inside a teenage girl's stomach.
Does an ‘Empty Shoes’ Memorial in Washington, D.C. Represent 7,000 Children Killed by Guns Since Sandy Hook?	A temporary memorial at the U.S. Capitol displays a pair of empty shoes to illustrate the 7,000 children killed by guns since the December 2012 Sandy Hook Elementary School shooting.
Does an ‘Increase’ in Arctic and Greenland Ice Cast Doubt on the Reality of Global Warming?	Measurements indicating that 2017 had relatively more sea ice in the Arctic and less melting of glacial ice in Greenland casts scientific doubt on the reality of global warming.
Does the 2017 Tax Plan Eliminate Deduction for Losses from Wildfires, Other Natural Disasters?	The Tax Cuts and Jobs Act of 2017 calls for eliminating or severely curtailing the personal casualty deduction for losses from wildfires and other natural disasters.
Does the 2017 Tax Reform Bill Eliminate Small Business Deductions?	Under the 2017 tax overhaul legislation currently making its way through Congress, all deductions for business-related expenses incurred by small business owners and the self-employed would be eliminated.
Does the 2017 Tax Reform Bill Help Private Schools and Hurt Public Schools?	The 2017 tax reform bill eliminates personal deductions for state and local taxes (primary sources of public school funding), while offering tax breaks for parents who send their children to private schools.
Does the Antifa Flag Resemble a Nazi Flag?	An image documents the striking similarities between the Antifa flag and a Nazi flag.
Does the CDC Own an Ebola Patent?	The Centers for Disease Control (CDC) owns a patent on Ebola.
Does the California NAACP Want to Replace the National Anthem?	The California NAACP is seeking to replace 'The Star-Spangled Banner' as the national anthem of the United States due to concerns over its racist overtones and history.
Does the Cancer Act of 1939 Make It Illegal to Cure Cancer?	The Cancer Act of 1939 makes it illegal to cure cancer.
Does the Color of a Bread Tag Indicate When the Loaf Was Baked?	You can tell which day a loaf of bread was baked by the color of its plastic twist tag.
Does the Dow Jones Do Worse Under Republican Presidents?	The seven biggest one-day Dow Jones points drops took place during Republican presidencies, showing that Republicans are not 'good for the economy.'
Does the FBI Have Evidence That 62 Million Trump Voters Are Russian Agents?	The Federal Bureau of Investigation has uncovered evidence that everyone who voted for President Donald Trump is a Russian spy
Does the Family of Former Attorney General Eric Holder Own an Abortion Clinic?	Family relatives of former U.S. Attorney General Eric Holder own property used as an abortion clinic.
Does the GOP Tax Bill Introduce Anti-Abortion “Fetal Personhood” Legislation?	The 2017 GOP tax overhaul plan includes language that attempts to codify “fetal personhood.”
Does the GOP Tax Plan Include a Tax Cut for Private Jet Owners?	The Senate GOP tax reform bill includes a tax cut for private jet owners.
Does the Interaction of Motrin and Robitussin Cause Heart Attacks in Children?	The interaction of Motrin and Robitussin causes heart attacks in children.
Does the McCarran-Walter Act of 1952 Bar Muslims from Holding Public Office?	The McCarran-Walter Act of 1952 bans Muslims from holding public office in the United States.
Does the NAACP Want to Sandblast Confederate Figures Off Stone Mountain?	The NAACP is calling for the removal of an historical Civil War carving from Stone Mountain, Georgia.
Does the Nagapushpa Flower Bloom Every 36 Years?	A photograph shows a rare Nagapushpa flower that blooms only once every 36 years.
Does the Psychiatrist Who ‘Diagnosed’ President Trump Lack a License?	Dr. Bandy Lee, who has warned the United States that Donald Trump is dangerously impaired, lacks a medical license.
Does the Red Cross Ban Prayer at Shelters, Even in Churches?	The Red Cross banned prayer in all disaster shelters, even those in churches.
Does the Red Cross Charge Disaster Victims They Assist?	The American Red Cross charges a fee to persons whom they assist.
Does the Satanic Temple Want to Establish After School Satan Clubs?	A group called the Satanic Temple wants to establish After School Satan Clubs in public schools to introduce children to the 'religion of darkness.'
Does the Supplement InteliGEN Increase Intelligence?	The new supplement InteliGEN can boost brain function.
Does the Supreme Court Overturn 80 Percent of Ninth Circuit Court Decisions?	Eighty percent of the Ninth Circuit Court of Appeals' decisions are overturned by the Supreme Court.
Does the Texas DPS Have Armed Patrol Boats on the Rio Grande?	A photograph shows a Texas Dept. of Public Safety boat equipped with machine guns on the Rio Grande.
Does the U.S. Experience Far More School Shootings Than Any Other Country?	The experienced many times more school shootings between 2009 and 2018 than 27 other countries combined.
Does the U.S. Have Millions More Registered Voters Than Eligible Adults?	The U.S. has several million more registered voters than eligible, voting-age adults.
Does the U.S. Have the ‘Cleanest Air in the World’?	As of June 2019, the United States was ranked as having the cleanest air in the world.
Does the U.S. Presidential Seal Change in Wartime?	During wartime, the Seal of the President of the United States is modified so that the eagle's head faces the opposite direction.
Does the White House Want to Turn the International Space Station into a Commercial Venture?	President Trump has proposed defunding NASA’s interest in the International Space Station to allow for commercial development of the asset.
Does the Word ‘Guacamole’ Mean ‘Testicle Sauce’?	The word 'guacamole' literally translates as 'testicle sauce.'
Does the Zello Phone App Work Without the Internet?	The Zello walkie-talkie cellphone app can be used without the internet.
Does the iPad App ‘Roblox’ Dangerously Expose Children to Predators?	Children's iPad app 'Roblox' is dangerous and enables predators to easily target children without parental knowledge of the interactions.
Does the ‘Blood of Jesus’ Flower Only Bloom During Holy Week?	An image shows a 'Blood of Jesus on the Cross' flower that only blooms during Holy Week.
Does the ‘Don’t Stream and Drive’ Video Show a Real Car Crash?	A video shows a driver getting into a car crash during a Facebook live stream.
Does the “Slime” Craze Bring Serious Health Risks?	“Slime,” a do-it-yourself gooey craft project containing borax, white glue, and shaving cream, comes with serious health risks.
Does ‘AR’ in AR-15 Stand for ‘Assault Rifle’?	The 'AR' in AR-15 stands for assault rifle.
Does ‘Brace Position’ Kill Passengers Quickly in an Air Crash?	The purpose of the 'crash' or 'brace' position in airliners is to kill passengers quickly in the event of an crash, or to preserve their remains so as to make identification of bodies easier.
Does ‘Gravitational Pull’ Allow Brooms to Stand on End on Certain Days?	A special astronomical property allows brooms to be stood on end during particular days of the year.
Does ‘Incredibles 2’ Come With an Epilepsy Warning?	"The animated film ""Incredibles 2"" contains scenes that prompted an epilepsy warning at movie theaters."
Does ‘Incredibles 2’ Come With an Epilepsy Warning?	The animated film 'Incredibles 2' contains scenes that prompted an epilepsy warning at movie theaters.
Does ‘James Bond’ Actor Daniel Craig Get Free Aston Martin Cars for Life?	James Bond actor Daniel Craig gets free Aston Martin cars for life.
Does ‘Maga’ Mean ‘Easily Fooled Idiot’ in Nigerian Pidgin?	"The word ""maga"" means ""easily fooled idiot"" in Nigerian Pidgin."
Does ‘Maga’ Mean ‘Easily Fooled Idiot’ in Nigerian Pidgin?	The word 'maga' means 'easily fooled idiot' in Nigerian Pidgin.
Does ‘Raw Water’ Provide Probiotic Health Benefits?	Drinking untreated spring water, marketed as 'raw water,' provides health benefits because they are 'probiotic.'
Does ‘The Wizard of Oz’ Include a Munchkin Suicide?	A lovelorn actor portraying one of the munchkins hanged himself on the set during the filming of The Wizard of Oz.
Dog Deaths from Chewing Stuffed Toys	Dogs die after eating children’s stuffed toys that contain flame-retardant materials.
Dog Heads for Sale	Photograph shows dog heads for sale in a foreign supermarket’s meat section.
Dog Jumps Out Apartment Window to Chase Tennis Ball	A man left entertaining his girlfriend’s dog throws a ball out her highrise apartment window, with the dog in hot pursuit.
Dog Kills 23 Owners	A seeing eye dog named Lucky caused the deaths of four of his owners.
Dog Named Parrot	A dog named Parrot was murdered by a police officer during a Washington DC festival.
Dog Poisoned by Nerf Football?	A dog died after picking up a poisoned Nerf football in a dog park.
Dog Saves Abandoned Newborn?	Photographs show a dog saving an abandoned newborn child.
Dog Saves Baby	A dog charged with guarding a baby is discovered bloody-faced while the infant is strangely missing. The shocked dog owner reacts by killing the canine, only to afterwards find the unharmed babe lying next to a wolf his faithful companion had dispatched.
Dog Tag Notch	Dog tags used to have notches so they could be wedged between the teeth of fallen soldiers.
Dog vs. Porcupine	Photographs show the aftermath of a dog vs. porcupine encounter.
Dog's Face Blown Off by Firecracker	Photograph shows a dog injured by fireworks placed in its mouth.
Doggies for Anthony	The mother of 16-year-old leukemia patient Anthony Lyons created a ‘Doggies for Anthony’ Facebook event to help the teen cope with his chemotherapy between therapy dog visits.
Dogs as Shark Bait?	Fisherman on Réunion Island employ live dogs as bait for shark-fishing.
Dollar General Sunblock Warning	A child developed third-degree sunburn after using Dollar General brand spray-on sunblock.
Dollar Store Toothpaste	Some dollar stores sell expired and foreign, non-ADA-standard formulations of toothpaste.
Dollar Tree Closing All Stores?	Dollar General, Family Dollar, or Dollar Tree is closing all stores.
Dolly Parton Said California’s ‘Biblical Disasters’ Were Punishment For ‘Embracing Satan?’	Dolly Parton said that the people of California were being punished with droughts, fires, mudslides and other natural disasters as punishment for embracing Satan.
Dolly Parton ‘Trashes’ Hillary Clinton?	Dolly Parton publicly criticized Hillary Clinton and endorsed Donald Trump.
Domino’s Pizza and Operation Rescue	Domino’s Pizza financially supports Operation Rescue, an anti-abortion group.
Don Knotts — Marine Drill Instructor?	Actor Don Knotts once served as a drill instructor for the U.S. Marine Corps.
Don Rickles Roasts Congress… and Barack Obama	Collection reproduces jokes about Democratic politicians by Don Rickles.
Don Walter Letter	Retired federal judge delivers lecture about his experience setting up a new legal system in Iraq.
Don't Jaywalk in Detroit	Video shows a pedestrian being run over and beaten in Detroit.
Donald Duck Banned in Finland	Donald Duck was once banned in Finland because the character doesn’t wear pants.
Donald Trump Announces His Campaign Is a Joke	Donald Trump announced that his 2016 Presidential campaign was an April Fool's Day joke.
Donald Trump Appoints Kanye West to Cabinet Position?	President-Elect Donald Trump appointed Kanye West to a cabinet position.
Donald Trump Bashes Jesus, Says He Can Save America?	Donald Trump bashed Jesus, saying that he could save America without some 'silly cross.'
Donald Trump Bombshell: Ted Cruz’s Wife Former Call Girl	Donald Trump 'spilled the beans' on Heidi Cruz, saying that she used to work as a call girl.
Donald Trump Brokers Deal With Carrier to Keep Jobs in America	Trump arranged a deal with Carrier that kept a thousand jobs in the United States.
Donald Trump Brokers Deal With Carrier to Keep Jobs in America	Trump arranged a deal with Carrier that kept a thousand jobs in the United States.  
Donald Trump Buys Children	A video report from CNN shows Donald Trump purchasing a car and two children.
Donald Trump Condoned Flag Burning?	Prior to condemning flag burning in November 2016, Donald Trump endorsed the act in February 2011.
Donald Trump Congratulates Serena Williams	Donald Trump called Serena Williams his 'Black American woman friend' on Twitter after the tennis star won her 7th Wimbledon title.
Donald Trump Described the Electoral College as a ‘Disaster’ in 2012	Trump blasted the electoral college in 2012.
Donald Trump Didn’t Pay Sarah Palin for Her Endorsement	Donald Trump paid Sarah Palin $10 million for her endorsement.
Donald Trump Didn’t Say Vets with PTSD Are ‘Weak’	"Donald Trump said veterans suffering from PTSD are ""weak,"" ""unfit,"" and ""can't handle"" military service."
Donald Trump Didn’t Say Vets with PTSD Are ‘Weak’	Donald Trump said veterans suffering from PTSD are 'weak,' 'unfit,' and 'can't handle' military service.
Donald Trump Divorced Ivana Because Her Breast Implants Felt Wrong?	Donald Trump divorced Ivana Trump because her breast implants were imperfect, and he leaked that information to New York tabloids while they were married.
Donald Trump Doesn’t Salute the Flag?	Donald Trump failed to  place his hand over his heart during the playing of the U.S. national anthem at the beginning of a GOP debate.
Donald Trump Donated $100k to Anti-Gay Hate Group Instead of Louisiana Flood Victims?	Donald Trump donated flood relief money to the president of an anti-gay hate group.
Donald Trump Donated Food, Supplies to Victims of Hurricane Matthew in North Carolina	Donald Trump donated food and supplies to Lumberton, North Carolina, and other towns ravaged by Hurricane Matthew.
Donald Trump Donated Play-Doh, Other Items to Louisiana Flood Victims?	Donald Trump donated Play-Doh brand modeling clay to Louisiana flood victims.
Donald Trump Drops White House Bid?	Donald Trump suspended his presidential campaign in December 2015.
Donald Trump Editorial via The New Yorker?	The New Yorker published a surprisingly effusive item praising the political acumen of Donald Trump, penned by a Bloomberg reporter.
Donald Trump Explains Why Lincoln Succeeded	A meme reproduces Donald Trump's explanation of why Abraham Lincoln succeeded as a president.
Donald Trump Gave His 2nd Grade Music Teacher a Black Eye	Donald Trump wrote in 'The Art of the Deal' that he punched out his second grade music teacher.
Donald Trump Hires ‘Clueless’ Star for Outreach Program	Stacey Dash was hired by Donald Trump for his 'Negro Outreach Program.'
Donald Trump Isn’t Hiring a Latina Actress to Play His Assistant	A casting call for a Latina actress to play a 'Donald Trump Executive Assistant Supporter' was posted by the republican presidential candidate.
Donald Trump Jr.: Our Greenskeeper Skipped His Sister’s Wedding	Donald Trump Jr. tweeted that the family's greenskeeper missed his own sister's wedding in order to work for the Trumps.
Donald Trump Just Admitted He Was a Hillary Clinton Plant the Whole Time	Donald Trump admitted on Twitter that he was a political plant for Hillary Clinton.
Donald Trump Kicked a Crying Baby Out of a Political Rally	Republican presidential candidate Donald Trump kicked a crying baby out of a political rally.
Donald Trump Nazi Salute Controversy	Donald Trump encouraged supporters to engage in a Nazi-style salute at a campaign rally.
Donald Trump Praises Colonel Sanders for His Service in the Civil War?	President Trump praised KFC founder Colonel Sanders, who wasn't born until 1890, for his service during the Civil War.
Donald Trump Protester Was Not ISIS Member	A video provides evidence that a protester who was arrested at a Donald Trump rally was a member of ISIS.
Donald Trump Reads ‘The Vicious Snake’	A video showcasing footage of violent refugees features audio of Donald Trump reciting the lyrics to a song entitled 'The Snake.'
Donald Trump Reveals Obama Divorce	Donald Trump is revealing information documenting that Barack and Michelle Obama were once on the verge of divorce.
Donald Trump Said: ‘Kiss your Section 8, Welfare and Medicaid Goodbye’?	Donald Trump said that he planns to eradicate Section 8 housing, welfare, and Medicaid.
Donald Trump Says Harriet Tubman Face Belongs on Foodstamps	Donald Trump said that Harriet Tubman's face belongs on food stamps, not the $20 bill.
Donald Trump Says He’ll Legalize Weed In Every State	Donald Trump will legalize marijuana in all 50 states.
Donald Trump Signs Executive Order Cancelling Saturday Night Live?	President Trump has issued an order banning the 'Saturday Night Live' television show.
Donald Trump Sold an Apartment to a Brutal Haitian Dictator?	Donald Trump sold a Trump Tower apartment to the brutal and corrupt former Haitian leader Jean-Claude “Baby Doc” Duvalier.
Donald Trump Stiffed His Wedding Caterer?	Donald Trump stiffed the caterer he hired for his wedding to Marla Maples in 1993.
Donald Trump Supporters Seen Wearing Nazi-Style Armbands	Donald Trump supporters were photographed wearing Nazi-style armbands.
Donald Trump Supports ‘Some Form of Punishment’ for Abortions	Donald Trump said there should be 'some form of punishment' for women who have abortions.
Donald Trump Taunts Jeb Bush on Twitter over Domain?	Donald Trump boasted in a tweet that Jeb Bush failed to renew his domain registration, enabling Trump's campaign to redirect it to Trump's web site.
Donald Trump Tweets a Photo of His Private Parts?	Donald Trump tweeted an image of his genitals following penis-related banter at a Republican debate.
Donald Trump Wrote that Being an Atheist Gives Him a Business Edge?	Trump's 1987 book The Art of the Deal says that being an atheist gives Trump 'an edge in every deal.'
Donald Trump iPhone Boycott Tweet Controversy	Donald Trump called for a boycott of all Apple products in a tweet sent from his iPhone.
Donald Trump to Remain on ‘The Apprentice’ after Inauguration	"Donald Trump will be a ""part-time President"" and keep his job on ""Celebrity Apprentice."""
Donald Trump ‘Fifth Avenue’ Comment	Donald Trump claimed he could 'stand in the middle of Fifth Avenue and shoot somebody' and not 'lose any voters.'
Donald Trump, Melania Trump, and Stormy Daniels?	A photograph shows President Donald Trump with his wife Melania Trump and his alleged mistress Stormy Daniels.
Donald Trump: Build a Wall on the Canadian Border	Donald Trump said that as president he would build a wall along the U.S.-Canadian border.
Donald Trump: The President Shouldn’t Tell NFL Teams What to Do?	In 2013, Donald Trump criticized President Obama for interfering in an NFL team issue.
Donald Trump: ‘Abraham Lincoln Was a Dishonest Traitor’	Donald Trump called Abraham Lincoln a traitor.
Donald Trump: ‘You Have to Be Wealthy in Order to Be Great’	Donald Trump said, 'you have to be wealthy in order to be great.'
Donald Trump’s 7-11	Donald Trump mentioned 'seven eleven'  rather than 'nine eleven' when referring to the September 11 terrorist attacks.
Donald Trump’s Ex-Wives Speak Out on ‘Forced Abortions’	Donald Trump ex-wives admitted that the Republican Presidential candidate forced them to have abortions.
Donald Trump’s Harvard Rejection Letter	An image shows the rejection letter Donald Trump received from Harvard University.
Donald Trump’s Self-Aggrandizing Wedding Toast to His Daughter	A transcript documents that Donald Trump gave a self-aggrandizing toast at his daughter Ivanka's wedding.
Donald Trump’s Sons in Game-Hunting Photos?	Photographs show Donald Trump's sons, Donald Jr. and Eric, posing during a big game hunting trip.
Donations To Save Rabbit	Fellow threatens to eat his pet rabbit unless $50,000 is donated through his web site.
Don’t Buy Gas on April 15	Participating in one-day boycott of gasoline on 15 April will help lower gasoline prices.
Don’t Open the Door to Strangers	Home invasion criminals have gained entry to houses by pretending to be distressed persons in need of shelter from attackers.
Don’t Re-Nig in 2012	Photograph shows a car bearing a bumper sticker with the Obama campaign logo and the slogan “Don’t Re-Nig in 2012.”
Don’t Selfie Your Ballot?	Taking a photograph of your ballot and posting it to the Internet is illegal or will invalidate your vote.
Don’t You Dare Try and Paint All of Islam With the Same Brush	President Obama angrily said “don’t you dare paint all of Islam with the same brush” after becoming agitated that ISIS and Islam had been conflated.
Doors Five to One	The title of the Doors song “Five to One” refers to the ratio of Viet Cong to American troops in Vietnam.
Dord: The Word That Didn’t Exist	For five years, Webster’s New International Dictionary mistakenly included an entry for dord, a word that did not exist.
Double Dreamin’	Woman wins lottery twice after dreaming about the winning combination.
Double Meanings Domains	Companies choose domain names with unintendedly risqué double meanings.
Down to Lunch Human Trafficking Rumors	The app Down to Lunch is a covert tool for human trafficking.
Downy Unstopables Warmer Warning	It's dangerous to put Downy Unstopables (or other laundry fragrance beads) in a tart or wax warmer.
Dr Pepper Bought by Coca-Cola, to Be Discontinued	Coca-Cola has bought the rights to Dr Pepper and will be discontinuing production of the latter soft drink.
Dr. Dave Janda – The One Word to Describe Obamacare	Article by orthopedic surgeon Dr. Dave Janda criticizes the ObamaCare Plan as “fascist.”
Dr. Howard Kelly and the Glass of Milk	A doctor operated for free on a girl who years earlier had given him a glass of milk.
Dr. Kermit Gosnell Trial	Dr. Kermit Gosnell is on trial on charges of having committed multiple gruesome and illegal late-term abortions.
Dr. Laura on Pit Bulls	Radio host Dr. Laura Schlessinger stated during a broadcast that pit bulls in an animal shelter were  “taking up space” and that they should all be “put down.”
Dr. Leon Eisenberg: ADHD Is a ‘Fictitious Disease’?	Dr. Leon Eisenberg, the ‘father’ of ADHD, said just before his death that ADHD ‘is a prime example of a fictitious disease.’
Dr. Robert Atkins’ Death	Dr. Robert Atkins, proponent of the low-carbohydrate diet, died of a heart attack.
Dr. Ruth Was a Sniper?	Sexpert Dr. Ruth Westheimer served as a sniper in Israel.
Dr. Sam Vaknin – Barack Obama Is a Narcissist	Dr. Sam Vaknin penned an article about the dangers of Barack Obama’s narcissism.
Dr. Vinay Goyal – Good Advice for Preventing Swine Flu	List offers useful tips for avoiding contracting the swine flu.
Dr. Walter Williams – No Matter What	Dr. Walter Williams penned an opinion piece entitled “No Matter What,” about President Obama’a inevitable re-election.
Dr. Zhivago Stunt Death	During the filming of one of the train scenes in Dr. Zhivago, a stuntwoman’s legs were amputated when she fell under the wheels, the scene was left in the final cut.
Dragged Roofer	A roofer who foolishly ties his safety rope to the bumper of his wife’s car is dragged off the roof and down the street.
Dragon Skeleton Discovered in Iceland?	A dragon skeleton was discovered in northern Iceland.
Drano Bottle Bombs	Plastic soda bottles left in unsuspecting residents' yards may be bottle bombs.
Drano Test	The color change displayed by a mixture of Drano and urine from a pregnant woman will predict the sex of the unborn child.
Dream Police	New Orleans mayor Ray Nagin created a phantom  force of 700 “virtual policemen.”
DreamWeaverGrey Warning	A man using the screen name 'DreamWeaverGrey' is luring women to their deaths over the Internet.
Drill Bit Accident	A construction worker survived an accident that poked an 18-inch-long drill bit through one eye and out the side of his skull.
Drilling Rig Tornado	Photograph taken in  west Texas shows a tornado funnel and lightning bolt alongside a drilling rig.
Drinking Bleach Prevents HIV/AIDS	Drinking bleach will protect you from catching HIV/AIDS.
Drinking Bleach Protects Against Ebola?	Drinking or injecting bleach will protect you against Ebola.
Drinking Bleach to Beat a Drug Test	Drinking bleach can help a drug user beat drug testing.
Driver Thrown from Car	Video shows a driver being thrown from his car in a collision and being run over by oncoming traffic.
Driving Examiner Mishap	Driving examiner gets run over during a road test.
Dropped Food Rule	Dropped food remains germ-free if picked up within five seconds.
Drowned Thief	Thief drowns in submerged pool after looting the home of disaster victims.
Dru Sjodin	A 22-year-old University of North Dakota student named Dru Sjodin is missing.
Drug Kingpin Joaquin ‘El Chapo’ Guzman Escapes Mexican Prison Once Again	Drug lord Joaquin Guzmán escaped from a Mexican prison for the third time.
Drug Law Lobbying by Corrections Corporation of America	The Corrections Corporation of America (CCA) said that cannabis legalization would harm their profits, and they spend $1 million per year fighting changes to marijuana laws.
Drug Mule	Smugglers are hiding drugs in Canadian vehicles parked at U.S. shopping malls, then following them across the border.
Drug Tests for Welfare Recipients	Various states have passed laws requiring that public assistance recipients pass a drug testing program.
Drunk Ben Bernanke Rant	Drunk Chairman of the Federal Reserve lets loose in a bar about how bad the U.S. economy truly is.
Drunk Gorilla Punches a Photographer	Photograph shows a drunk gorilla about to punch a photographer.
Drunk Man has Sex with Snowman, Loses Genitals to Frostbite	An habitual alcohol abuser lost his penis to frostbite after a drunken sexual encounter with a snowman.
Dry Drowning	Account of a 10-year-old boy's death explains dry drowning and its symptoms.
Dryer Sheets Full of Toxic Chemicals?	Dryer sheets permeated with fabric softener contain at least seven dangerous toxic chemicals.
Duane Martin Comes Out: Ends Eleven-Year Marriage with Tisha Campbell	E-mail reproduces TMZ article about Duane Martin and Tisha Campbell
Duck Dynasty Prayer	The A&E series ‘Duck Dynasty’ is being threatened by complaints about the show’s inclusion of prayer scenes and guns.
Duck’s Quacks Don’t Echo?	A duck's quack doesn't echo, and no one knows why.
Duct Tape Advice	Three people died of suffocation after sealing their home with plastic sheeting and duct tape.
Duct Tape Fears	A Corona, California, man sued Secretary of Homeland SecurityTom Ridge for emotional distress after duct-taping his “privates.”
Due to Religious Intolerance, Facebook Bans All Christian-Themed Content	Facebook is banning all Christian-themed content but will allow every other religion to share faith-based material on their social network.
Dueling Memes Debate Denmark’s Social Infrastructure	A pair of memes accurately describes the benefits and downside of the social system in Denmark.
Duke University’s Muslim Call to Prayer	Duke University has announced the introduction of a weekly call to prayer for Muslim students on Friday afternoons.
Duke’s Coach Criticizes President Obama?	Duke coach Mike Krzyzewski publicly criticized President Obama just after Duke won a national basketball championship.
Dumaru Virus	Dumaru.
Dunkin Donuts ‘Celebrating Employees’ Rumor	Employees at Dunkin’ Donuts outlets desecrated American flags and celebrated the 9/11 terrorist attack on America.
Dunkin’ Donuts Holiday Cup Is Richard Dawkins Giving the Finger	Dunkin Donuts' new holiday cup features an image of Richard Dawkins giving the finger.
Durex Pumpkin Spice Condom	Durex is offering limited edition Pumpkin Spice condoms.
Durex to Produce Eggplant-Flavored Condoms	Prophylactic maker Durex is producing an eggplant-flavored condom.
During a Hurricane, Should You Store Important Items in Your Dishwasher?	Dishwashers are a reliably safe place to store valuable documents and photographs during hurricanes or flooding.
Dust Off Death	Adolescents have died huffing from cans of Dust-Off brand compressed air.
Dustbuster Mistaken for Fuzzbuster	A motorist mistook a Dustbuster vacuum cleaner for a Fuzzbuster radar detection device.
Dwarfs on Drugs	The personalities of the dwarf characters in Disney's animated film version of Snow White and the Seven Dwarfs represent the seven stages of cocaine addiction.
Dwayne Johnson Arrested	Dwayne Johnson was arrested for illegally importing human growth hormone (HGH) into Australia.
Dwight Eisenhower Confused with Milton	Dwight D. Eisenhower became president of Columbia University because the school’s trustees confused him with his younger brother, Milton.
Dwight R. Worley – The Gun Owner Next Door	The Journal News published a map showing the names and addresses of handgun permit holders in two New York counties.
Dynamic Pet Products Real Ham Bone	Dynamic Pet Products Real Ham Bone have caused several dogs to fall ill and die.
E-ZPass Checkpoint Speeding Tickets	New York will be embedding strips in vehicle registration stickers in order to catch speeders.
E. Coli Salad Warning	Prepackaged salads and spinach may contain E. coli.
E. Coli Spinach Warning	The FDA has advised consumers to not eat fresh spinach or fresh spinach-containing products until further notice.
E.J. Korvette — Eight Jewish Korean War Veterans?	The discount chain E.J. Korvette took its name from a shortening of ‘eight Jewish Korean War veterans’ in honor of its founding partners.
E15 Gasoline	The use of E15 gasoline will damage engines and/or void warranties of many types of cars.
EPA Seeks to Ban Racecar Conversions?	The U.S. Environmental Protection Agency is banning the conversion of road cars to racecars.
Eagle Takes Poodle	An opportunistic eagle makes off with a prized poodle, to the horror of its owner (and the delight of her husband).
Eagle vs. Fox	Photograph shows an eagle taking a fox away from a partially-eaten carcass.
Early Morning Explosion in DC Allegedly Leaves Yet Another DNC Staffer Dead	A DNC staffer was killed in a 'mysterious explosion' following the unsolved murder of a young man in Washington, D.C.
Early/Late Easter	Easter Sunday occurs unusually early and late in 2008 and 2011, respectively.
Earth in a ‘Cradle of Clouds’	A photo taken by the Hubble Telescope shows the earth in a 'cradle of clouds.'
Earth in the Balance	In his book Earth in the Balance, Senator Al Gore wrote that Christians are a “blight on the environment” and that “to believe in Bible prophecy is unforgivable.”
Earthquake Hoax	A massive earthquake is poised to hit Los Angeles on 30 September 2010.
Earthquake Myths	Earthquakes are most likely to happen when the weather is hot and dry.
Earth’' Population as a Village of 100 People	List summarizes what proportions of common traits would be like if we could shrink the earth’s population to a village of precisely 100 people.
EastEnders Actor Danny Dyer Dies at 37?	EastEnders star Danny Dyer has died.
Eaten Parrot	A loving son who gives his mother an expensive talking bird is horrified to discover she ate it for dinner.
